benchmark,n_qubits,n_gates,optimal_depth,depth_match,lb_mean,lb_std,ub_mean,ub_std,ub_value_used,ub_source,ratio_ub_over_lb,winner
4gt13_92.qasm,5,66,69,True,359.6898682000028,0.0,278.6202721000009,0.0,94,map,0.774612511312318,ub
4mod5-v1_22.qasm,5,21,20,True,0.9069318999972893,0.0,1.4276208999945084,0.0,25,map,1.574121386620953,lb
adder.qasm,4,23,15,True,0.4945566999958828,0.0,0.5291388999903575,0.0,19,map,1.0699256525991105,lb
barenco_tof_4.qasm,7,72,80,True,11.99664219999977,0.0,79.72199399999226,0.0,110,map,6.645358982198686,lb
barenco_tof_5.qasm,9,104,112,True,58.91479199999594,0.0,233.36902569999802,0.0,155,map,3.96112788958016,lb
mod5mils_65.qasm,5,35,38,True,7.186179799988167,0.0,14.451803200005088,0.0,48,map,2.011055053204887,lb
mod_mult_55.qasm,9,89,66,True,305.7232179999992,0.0,903.8626938999951,0.0,92,map,2.956473832157548,lb
or.qasm,3,16,14,True,0.2503473999968264,0.0,0.40036630000395235,0.0,20,map,1.59924289211323,lb
qaoa5.qasm,5,22,14,True,0.09678330000315327,0.0,0.17395099998975638,0.0,20,map,1.7973245382632017,lb
qft_8.qasm,8,106,75,True,725.5757137000037,0.0,3170.462337600009,0.0,115,map,4.3695816683727475,lb
rc_adder_6.qasm,14,140,94,True,121.26067449999391,0.0,1849.4028614999988,0.0,153,map,15.251464410253563,lb
tof_4.qasm,7,55,50,True,3.9771803000039654,0.0,13.884235400008038,0.0,66,map,3.4909745982585187,lb
tof_5.qasm,9,75,64,True,5.095622400011052,0.0,64.15327599999728,0.0,90,map,12.589880286235127,lb
toffoli.qasm,3,15,14,True,0.1033853000117233,0.0,0.14303019999351818,0.0,19,map,1.383467475330626,lb
vbe_adder_3.qasm,10,87,73,True,38.56773450000037,0.0,118.7274136999913,0.0,88,map,3.0784129594127485,lb
