benchmark,n_qubits,n_gates,topology,solver,tool,timeout_sec,status,optimal_depth,elapsed_sec,iterations,valid,repeats,elapsed_mean,elapsed_std,elapsed_min,elapsed_max,n_ok,n_timeout,n_error,depth_consistent,cxdepth,objective,depth,cx_depth,cx_count
4gt13_92.qasm,5,66,ibmq_guadalupe,cadical195,lb,7200.0,SAT,62,310.28166999999667,62,,1,310.28166999999667,0.0,310.28166999999667,310.28166999999667,1,0,0,,True,cxdepth,-1,62,105
4mod5-v1_22.qasm,5,21,ibmq_guadalupe,cadical195,lb,7200.0,SAT,19,1.6512043000257108,19,,1,1.6512043000257108,0.0,1.6512043000257108,1.6512043000257108,1,0,0,,True,cxdepth,-1,19,29
adder.qasm,4,23,ibmq_guadalupe,cadical195,lb,7200.0,SAT,10,0.38163290001102723,10,,1,0.38163290001102723,0.0,0.38163290001102723,0.38163290001102723,1,0,0,,True,cxdepth,-1,10,16
barenco_tof_4.qasm,7,72,ibmq_guadalupe,cadical195,lb,7200.0,SAT,52,26.35842330000014,52,,1,26.35842330000014,0.0,26.35842330000014,26.35842330000014,1,0,0,,True,cxdepth,-1,52,94
barenco_tof_5.qasm,9,104,ibmq_guadalupe,cadical195,lb,7200.0,SAT,78,180.09684009998455,78,,1,180.09684009998455,0.0,180.09684009998455,180.09684009998455,1,0,0,,True,cxdepth,-1,78,248
mod5mils_65.qasm,5,35,ibmq_guadalupe,cadical195,lb,7200.0,SAT,34,11.607093800004805,34,,1,11.607093800004805,0.0,11.607093800004805,11.607093800004805,1,0,0,,True,cxdepth,-1,34,76
mod_mult_55.qasm,9,89,ibmq_guadalupe,cadical195,lb,7200.0,SAT,46,185.05716730002314,46,,1,185.05716730002314,0.0,185.05716730002314,185.05716730002314,1,0,0,,True,cxdepth,-1,46,145
or.qasm,3,16,ibmq_guadalupe,cadical195,lb,7200.0,SAT,12,0.33482509999885224,12,,1,0.33482509999885224,0.0,0.33482509999885224,0.33482509999885224,1,0,0,,True,cxdepth,-1,12,12
qaoa5.qasm,5,22,ibmq_guadalupe,cadical195,lb,7200.0,SAT,8,0.0692265999969095,8,,1,0.0692265999969095,0.0,0.0692265999969095,0.0692265999969095,1,0,0,,True,cxdepth,-1,8,20
qft_8.qasm,8,106,ibmq_guadalupe,cadical195,lb,7200.0,TIMEOUT,-1,9314.69639669999,0,,1,9314.69639669999,0.0,9314.69639669999,9314.69639669999,0,1,0,,True,depth,-1,-1,-1
rc_adder_6.qasm,14,140,ibmq_guadalupe,cadical195,lb,7200.0,SAT,67,512.9698321000033,67,,1,512.9698321000033,0.0,512.9698321000033,512.9698321000033,1,0,0,,True,cxdepth,-1,67,269
tof_4.qasm,7,55,ibmq_guadalupe,cadical195,lb,7200.0,SAT,29,2.0178124000085518,29,,1,2.0178124000085518,0.0,2.0178124000085518,2.0178124000085518,1,0,0,,True,cxdepth,-1,29,67
tof_5.qasm,9,75,ibmq_guadalupe,cadical195,lb,7200.0,SAT,38,8.780284099979326,38,,1,8.780284099979326,0.0,8.780284099979326,8.780284099979326,1,0,0,,True,cxdepth,-1,38,99
toffoli.qasm,3,15,ibmq_guadalupe,cadical195,lb,7200.0,SAT,9,0.0643800999969244,9,,1,0.0643800999969244,0.0,0.0643800999969244,0.0643800999969244,1,0,0,,True,cxdepth,-1,9,9
vbe_adder_3.qasm,10,87,ibmq_guadalupe,cadical195,lb,7200.0,SAT,54,66.63321850000648,54,,1,66.63321850000648,0.0,66.63321850000648,66.63321850000648,1,0,0,,True,cxdepth,-1,54,164
