benchmark,n_qubits,n_gates,topology,solver,tool,timeout_sec,status,optimal_depth,elapsed_sec,iterations,valid,repeats,elapsed_mean,elapsed_std,elapsed_min,elapsed_max,n_ok,n_timeout,n_error,depth_consistent,cxdepth,objective,depth,cx_depth,cx_count,lower_bound
4gt13_92.qasm,5,72,ibmq_guadalupe,cadical195,lb,7200.0,SAT,76,668.7420170000987,76,,1,668.7420170000987,0.0,668.7420170000987,668.7420170000987,1,0,0,,False,depth,76,73,81,44
4mod5-v1_22.qasm,5,23,ibmq_guadalupe,cadical195,lb,7200.0,SAT,21,0.8072373000904918,21,,1,0.8072373000904918,0.0,0.8072373000904918,0.8072373000904918,1,0,0,,False,depth,21,19,20,13
adder.qasm,4,27,ibmq_guadalupe,cadical195,lb,7200.0,SAT,19,0.6258967999601737,19,,1,0.6258967999601737,0.0,0.6258967999601737,0.6258967999601737,1,0,0,,False,depth,19,17,22,15
barenco_tof_4.qasm,7,89,ibmq_guadalupe,cadical195,lb,7200.0,SAT,93,21.017020700033754,93,,1,21.017020700033754,0.0,21.017020700033754,21.017020700033754,1,0,0,,False,depth,93,69,91,81
barenco_tof_5.qasm,9,129,ibmq_guadalupe,cadical195,lb,7200.0,SAT,133,112.91881869989447,133,,1,112.91881869989447,0.0,112.91881869989447,112.91881869989447,1,0,0,,False,depth,133,114,194,116
mod5mils_65.qasm,5,36,ibmq_guadalupe,cadical195,lb,7200.0,SAT,40,6.709195600007661,40,,1,6.709195600007661,0.0,6.709195600007661,6.709195600007661,1,0,0,,False,depth,40,36,40,23
mod_mult_55.qasm,9,111,ibmq_guadalupe,cadical195,lb,7200.0,SAT,75,1075.4435483000707,75,,1,1075.4435483000707,0.0,1075.4435483000707,1075.4435483000707,1,0,0,,False,depth,75,71,139,54
or.qasm,3,20,ibmq_guadalupe,cadical195,lb,7200.0,SAT,18,0.5854625999927521,18,,1,0.5854625999927521,0.0,0.5854625999927521,0.5854625999927521,1,0,0,,False,depth,18,12,12,12
qaoa5.qasm,5,52,ibmq_guadalupe,cadical195,lb,7200.0,SAT,20,0.20245310000609607,20,,1,0.20245310000609607,0.0,0.20245310000609607,0.20245310000609607,1,0,0,,False,depth,20,12,14,20
qft_8.qasm,8,115,ibmq_guadalupe,cadical195,lb,7200.0,SAT,78,939.7820868999697,78,,1,939.7820868999697,0.0,939.7820868999697,939.7820868999697,1,0,0,,False,depth,78,69,161,45
rc_adder_6.qasm,14,172,ibmq_guadalupe,cadical195,lb,7200.0,SAT,111,1025.0800541999051,111,,1,1025.0800541999051,0.0,1025.0800541999051,1025.0800541999051,1,0,0,,False,depth,111,111,371,100
tof_4.qasm,7,69,ibmq_guadalupe,cadical195,lb,7200.0,SAT,57,2.877066900022328,57,,1,2.877066900022328,0.0,2.877066900022328,2.877066900022328,1,0,0,,False,depth,57,43,67,54
tof_5.qasm,9,95,ibmq_guadalupe,cadical195,lb,7200.0,SAT,75,14.967840400058776,75,,1,14.967840400058776,0.0,14.967840400058776,14.967840400058776,1,0,0,,False,depth,75,66,108,72
toffoli.qasm,3,18,ibmq_guadalupe,cadical195,lb,7200.0,SAT,16,0.116921600070782,16,,1,0.116921600070782,0.0,0.116921600070782,0.116921600070782,1,0,0,,False,depth,16,9,9,13
vbe_adder_3.qasm,10,101,ibmq_guadalupe,cadical195,lb,7200.0,SAT,79,44.269547599949874,79,,1,44.269547599949874,0.0,44.269547599949874,44.269547599949874,1,0,0,,False,depth,79,74,152,63
