benchmark,n_qubits,n_gates,topology,solver,tool,timeout_sec,status,optimal_depth,elapsed_sec,iterations,valid,repeats,elapsed_mean,elapsed_std,elapsed_min,elapsed_max,n_ok,n_timeout,n_error,depth_consistent,cxdepth,objective,depth,cx_depth,cx_count,lower_bound
vqe_8_0_10_100.qasm,8,261,ibmq_guadalupe,cadical195,lb,7200.0,SAT,208,4814.480335599976,208,,1,4814.480335599976,0.0,4814.480335599976,4814.480335599976,1,0,0,,False,depth,208,191,345,194
vqe_8_0_5_100.qasm,8,193,ibmq_guadalupe,cadical195,lb,7200.0,TIMEOUT,-1,7200.002866799943,0,,1,7200.002866799943,0.0,7200.002866799943,7200.002866799943,0,1,0,,False,depth,-1,-1,-1,-1
vqe_8_1_10_100.qasm,8,194,ibmq_guadalupe,cadical195,lb,7200.0,SAT,167,644.5434865000425,167,,1,644.5434865000425,0.0,644.5434865000425,644.5434865000425,1,0,0,,False,depth,167,148,248,158
vqe_8_1_5_100.qasm,8,77,ibmq_guadalupe,cadical195,lb,7200.0,SAT,66,77.75611509999726,66,,1,77.75611509999726,0.0,77.75611509999726,77.75611509999726,1,0,0,,False,depth,66,62,120,63
vqe_8_2_10_100.qasm,8,306,ibmq_guadalupe,cadical195,lb,7200.0,TIMEOUT,-1,7200.000014499994,0,,1,7200.000014499994,0.0,7200.000014499994,7200.000014499994,0,1,0,,False,depth,-1,-1,-1,-1
vqe_8_2_5_100.qasm,8,183,ibmq_guadalupe,cadical195,lb,7200.0,SAT,180,1677.7956692000153,180,,1,1677.7956692000153,0.0,1677.7956692000153,1677.7956692000153,1,0,0,,False,depth,180,160,279,171
vqe_8_3_10_100.qasm,8,308,ibmq_guadalupe,cadical195,lb,7200.0,TIMEOUT,-1,7200.01578180003,0,,1,7200.01578180003,0.0,7200.01578180003,7200.01578180003,0,1,0,,False,depth,-1,-1,-1,-1
vqe_8_3_5_100.qasm,8,152,ibmq_guadalupe,cadical195,lb,7200.0,SAT,137,1460.562487600022,137,,1,1460.562487600022,0.0,1460.562487600022,1460.562487600022,1,0,0,,False,depth,137,121,211,128
vqe_8_4_10_100.qasm,8,271,ibmq_guadalupe,cadical195,lb,7200.0,TIMEOUT,-1,7200.007361799944,0,,1,7200.007361799944,0.0,7200.007361799944,7200.007361799944,0,1,0,,False,depth,-1,-1,-1,-1
vqe_8_4_5_100.qasm,8,154,ibmq_guadalupe,cadical195,lb,7200.0,SAT,133,639.9451623000205,133,,1,639.9451623000205,0.0,639.9451623000205,639.9451623000205,1,0,0,,False,depth,133,128,225,130
