t,phase,sat,elapsed_sec,conflicts,decisions,propagations,restarts,n_vars,n_clauses,var_counts_delta,clause_counts_delta
38,lb,False,0.02525180000520777,253,962,32735,23,16925,270172,"{""a"": 2508, ""sw"": 608, ""mp"": 3040, ""oc"": 608, ""e"": 380, ""c"": 2508, ""d"": 2508, ""u"": 608, ""_amn_r"": 3548, ""st"": 608, ""asm"": 1}","{""mapping"": 32718, ""connectivity"": 92340, ""gates"": 240068, ""swap"": 31404, ""assumptions"": 66}"
39,lb,False,0.02960499999608146,234,731,22985,16,17374,267953,"{""a"": 66, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 66, ""d"": 66, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2430, ""gates"": 6328, ""swap"": 848, ""assumptions"": 66}"
40,lb,False,0.21804249999695458,2242,6154,255640,56,17823,280075,"{""a"": 66, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 66, ""d"": 66, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2430, ""gates"": 6328, ""swap"": 848, ""assumptions"": 66}"
41,lb,False,0.08344879999640398,1710,4260,225758,58,18272,288337,"{""a"": 66, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 66, ""d"": 66, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2430, ""gates"": 6328, ""swap"": 848, ""assumptions"": 66}"
42,lb,False,0.4359708000047249,3268,7239,1496322,49,18721,265404,"{""a"": 66, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 66, ""d"": 66, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2430, ""gates"": 6328, ""swap"": 848, ""assumptions"": 66}"
43,lb,False,1.3421272000050521,3919,10712,1471739,140,19170,247948,"{""a"": 66, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 66, ""d"": 66, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2430, ""gates"": 6328, ""swap"": 848, ""assumptions"": 66}"
44,lb,False,0.70257870000205,5173,15370,1385554,321,19619,257736,"{""a"": 66, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 66, ""d"": 66, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2430, ""gates"": 6328, ""swap"": 848, ""assumptions"": 66}"
45,lb,False,0.17874999999912689,4931,12682,509834,216,20068,268676,"{""a"": 66, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 66, ""d"": 66, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2430, ""gates"": 6328, ""swap"": 848, ""assumptions"": 66}"
46,lb,False,0.12121579999802634,2620,7005,288681,87,20517,279638,"{""a"": 66, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 66, ""d"": 66, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2430, ""gates"": 6328, ""swap"": 848, ""assumptions"": 66}"
47,lb,False,0.2168580999932601,4057,10516,462675,174,20966,290140,"{""a"": 66, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 66, ""d"": 66, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2430, ""gates"": 6328, ""swap"": 848, ""assumptions"": 66}"
48,lb,False,1.5830806000012672,9359,24665,3153773,511,21415,294294,"{""a"": 66, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 66, ""d"": 66, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2430, ""gates"": 6328, ""swap"": 848, ""assumptions"": 66}"
49,lb,False,0.49360259999957634,8981,28310,1280182,500,21864,307494,"{""a"": 66, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 66, ""d"": 66, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2430, ""gates"": 6328, ""swap"": 848, ""assumptions"": 66}"
50,lb,False,1.8672086999940802,13075,30079,3769441,347,22313,302574,"{""a"": 66, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 66, ""d"": 66, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2430, ""gates"": 6328, ""swap"": 848, ""assumptions"": 66}"
51,lb,False,1.918004800005292,30494,81897,4554908,1649,22762,333296,"{""a"": 66, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 66, ""d"": 66, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2430, ""gates"": 6328, ""swap"": 848, ""assumptions"": 66}"
52,lb,False,2.3325724999958766,16778,36733,3852925,442,23211,388143,"{""a"": 66, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 66, ""d"": 66, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2430, ""gates"": 6328, ""swap"": 848, ""assumptions"": 66}"
53,lb,False,0.5726544999997714,11614,25944,1595626,365,23660,353268,"{""a"": 66, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 66, ""d"": 66, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2430, ""gates"": 6328, ""swap"": 848, ""assumptions"": 66}"
54,lb,False,0.7262407000016537,14349,35821,2108148,552,24109,362272,"{""a"": 66, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 66, ""d"": 66, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2430, ""gates"": 6328, ""swap"": 848, ""assumptions"": 66}"
55,lb,False,5.11338760000217,62359,154571,12095467,1990,24558,377142,"{""a"": 66, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 66, ""d"": 66, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2430, ""gates"": 6328, ""swap"": 848, ""assumptions"": 66}"
56,lb,False,4.071736499994586,37230,107070,8224415,2364,25007,488642,"{""a"": 66, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 66, ""d"": 66, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2430, ""gates"": 6328, ""swap"": 848, ""assumptions"": 66}"
57,lb,False,6.059330600000976,51931,127407,11099171,1996,25456,397427,"{""a"": 66, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 66, ""d"": 66, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2430, ""gates"": 6328, ""swap"": 848, ""assumptions"": 66}"
58,lb,False,12.067329599994991,83690,243812,19120670,4863,25905,407187,"{""a"": 66, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 66, ""d"": 66, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2430, ""gates"": 6328, ""swap"": 848, ""assumptions"": 66}"
