t,phase,sat,elapsed_sec,conflicts,decisions,propagations,restarts,n_vars,n_clauses,var_counts_delta,clause_counts_delta
94,ub-probe,True,35.45135029999801,200847,1570532,72548682,8974,42013,699868,"{""a"": 6204, ""sw"": 1504, ""mp"": 7520, ""oc"": 1504, ""e"": 940, ""c"": 6204, ""d"": 6204, ""u"": 1504, ""_amn_r"": 8924, ""st"": 1504, ""asm"": 1}","{""gates"": 594502, ""swap"": 78940, ""mapping"": 80934, ""connectivity"": 228420, ""assumptions"": 66}"
93,ub-linear,True,45.253567400002794,243270,1809957,98048502,13677,42014,727172,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 66}"
92,ub-linear,True,29.43852709999919,131047,1199797,62844852,11710,42015,745148,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 66}"
91,ub-linear,True,28.575019899995823,146915,971476,53242200,8940,42016,746187,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 66}"
90,ub-linear,True,8.539130700002715,49811,261938,15442877,2242,42017,1247049,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 66}"
89,ub-linear,True,9.519262199995865,34919,132060,13499033,1143,42018,793752,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 66}"
88,ub-linear,True,8.782198500004597,62272,237638,15863970,1800,42019,1084404,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 66}"
87,ub-linear,True,26.331575199998042,133001,602454,40769614,6607,42020,807274,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 66}"
86,ub-linear,True,7.630899800002226,39709,172951,11233163,1946,42021,763805,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 66}"
85,ub-linear,True,10.90665849999641,34249,133152,11956165,1258,42022,788166,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 66}"
84,ub-linear,True,1.812288900000567,9409,47664,2385899,417,42023,799698,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 66}"
83,ub-linear,True,2.165089399997669,12879,47632,2936941,408,42024,811588,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 66}"
82,ub-linear,True,0.09286160000192467,0,3641,18189,0,42025,811962,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 66}"
81,ub-linear,True,7.130864999999176,38680,153739,10556557,1673,42026,801178,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 66}"
80,ub-linear,True,2.3788894999961485,12583,50295,3151873,521,42027,779457,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 66}"
79,ub-linear,True,8.321765000000596,40917,140367,11148000,1345,42028,812523,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 66}"
78,ub-linear,True,13.823054699998465,46651,171972,15230873,1889,42029,796102,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 66}"
77,ub-linear,True,12.49483400000463,50862,182305,14700954,2017,42030,808043,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 66}"
76,ub-linear,True,10.183937200003129,47814,161701,12476553,1742,42031,810797,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 66}"
75,ub-linear,True,12.673688700000639,38044,151300,13584933,2179,42032,799091,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 66}"
74,ub-linear,True,3.9671853999971063,12196,40264,4314892,450,42033,1295310,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 66}"
73,ub-linear,True,2.340208800000255,9211,26108,2468943,220,42034,824654,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 66}"
72,ub-linear,True,33.617113100001006,139284,417851,41953062,5703,42035,859723,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 66}"
