t,phase,sat,elapsed_sec,conflicts,decisions,propagations,restarts,n_vars,n_clauses,var_counts_delta,clause_counts_delta
68,lb,False,0.008682799998496193,286,736,34867,0,34513,738210,"{""a"": 4896, ""sw"": 1088, ""mp"": 7616, ""oc"": 1088, ""e"": 1428, ""c"": 4896, ""d"": 4896, ""u"": 1088, ""_amn_r"": 6428, ""st"": 1088, ""asm"": 1}","{""mapping"": 89148, ""connectivity"": 345032, ""gates"": 532144, ""swap"": 69708, ""assumptions"": 72}"
69,lb,False,0.07909559999825433,834,2027,117176,12,35023,729372,"{""a"": 72, ""sw"": 16, ""mp"": 112, ""oc"": 16, ""e"": 21, ""c"": 72, ""d"": 72, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1311, ""connectivity"": 5074, ""gates"": 7832, ""swap"": 1040, ""assumptions"": 72}"
70,lb,False,1.0172708999962197,4275,11131,1829302,186,35533,685872,"{""a"": 72, ""sw"": 16, ""mp"": 112, ""oc"": 16, ""e"": 21, ""c"": 72, ""d"": 72, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1311, ""connectivity"": 5074, ""gates"": 7832, ""swap"": 1040, ""assumptions"": 72}"
71,lb,False,2.4174617000026046,7203,25519,2276277,394,36043,653759,"{""a"": 72, ""sw"": 16, ""mp"": 112, ""oc"": 16, ""e"": 21, ""c"": 72, ""d"": 72, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1311, ""connectivity"": 5074, ""gates"": 7832, ""swap"": 1040, ""assumptions"": 72}"
72,lb,False,0.8926551999975345,5633,17544,1821154,258,36553,660588,"{""a"": 72, ""sw"": 16, ""mp"": 112, ""oc"": 16, ""e"": 21, ""c"": 72, ""d"": 72, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1311, ""connectivity"": 5074, ""gates"": 7832, ""swap"": 1040, ""assumptions"": 72}"
73,lb,False,0.1607231999951182,2208,7684,363514,104,37063,676181,"{""a"": 72, ""sw"": 16, ""mp"": 112, ""oc"": 16, ""e"": 21, ""c"": 72, ""d"": 72, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1311, ""connectivity"": 5074, ""gates"": 7832, ""swap"": 1040, ""assumptions"": 72}"
74,lb,False,0.00678909999987809,195,692,24455,12,37573,691663,"{""a"": 72, ""sw"": 16, ""mp"": 112, ""oc"": 16, ""e"": 21, ""c"": 72, ""d"": 72, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1311, ""connectivity"": 5074, ""gates"": 7832, ""swap"": 1040, ""assumptions"": 72}"
75,lb,False,0.09545449999859557,3091,9506,405481,151,38083,709536,"{""a"": 72, ""sw"": 16, ""mp"": 112, ""oc"": 16, ""e"": 21, ""c"": 72, ""d"": 72, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1311, ""connectivity"": 5074, ""gates"": 7832, ""swap"": 1040, ""assumptions"": 72}"
76,lb,False,0.2529623000009451,5064,13729,753238,301,38593,717240,"{""a"": 72, ""sw"": 16, ""mp"": 112, ""oc"": 16, ""e"": 21, ""c"": 72, ""d"": 72, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1311, ""connectivity"": 5074, ""gates"": 7832, ""swap"": 1040, ""assumptions"": 72}"
77,lb,False,2.364905100002943,11772,47656,4172492,408,39103,716713,"{""a"": 72, ""sw"": 16, ""mp"": 112, ""oc"": 16, ""e"": 21, ""c"": 72, ""d"": 72, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1311, ""connectivity"": 5074, ""gates"": 7832, ""swap"": 1040, ""assumptions"": 72}"
78,lb,False,0.4965606999976444,7127,26726,1387459,534,39613,733576,"{""a"": 72, ""sw"": 16, ""mp"": 112, ""oc"": 16, ""e"": 21, ""c"": 72, ""d"": 72, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1311, ""connectivity"": 5074, ""gates"": 7832, ""swap"": 1040, ""assumptions"": 72}"
79,lb,False,3.5257645000019693,23780,101080,7178149,1187,40123,740157,"{""a"": 72, ""sw"": 16, ""mp"": 112, ""oc"": 16, ""e"": 21, ""c"": 72, ""d"": 72, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1311, ""connectivity"": 5074, ""gates"": 7832, ""swap"": 1040, ""assumptions"": 72}"
80,lb,True,2.2245509999993374,24628,99879,6020676,1097,40633,757218,"{""a"": 72, ""sw"": 16, ""mp"": 112, ""oc"": 16, ""e"": 21, ""c"": 72, ""d"": 72, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1311, ""connectivity"": 5074, ""gates"": 7832, ""swap"": 1040, ""assumptions"": 72}"
