t,phase,sat,elapsed_sec,conflicts,decisions,propagations,restarts,n_vars,n_clauses,var_counts_delta,clause_counts_delta
155,ub-probe,True,248.9170432999963,610459,6151509,417628425,36589,100961,2706099,"{""a"": 16120, ""sw"": 2480, ""mp"": 22320, ""oc"": 2480, ""e"": 5580, ""c"": 16120, ""d"": 16120, ""u"": 2480, ""_amn_r"": 14780, ""st"": 2480, ""asm"": 1}","{""gates"": 2253490, ""swap"": 189804, ""mapping"": 282875, ""connectivity"": 1346950, ""assumptions"": 104}"
154,ub-linear,True,19.760581000002276,54746,404325,30685226,2565,100962,2695788,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 104}"
153,ub-linear,True,13.692588700003398,46744,398289,25623676,2640,100963,2718977,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 104}"
152,ub-linear,True,0.22606439999799477,0,6012,48583,0,100964,2719282,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 104}"
151,ub-linear,True,0.21903639999800362,1,6022,48680,0,100965,2719609,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 104}"
150,ub-linear,True,0.26783309999882476,0,6061,48749,0,100966,2719891,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 104}"
149,ub-linear,True,0.26624140000058105,0,6078,48836,0,100967,2720213,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 104}"
148,ub-linear,True,0.20172900000034133,0,6102,48917,0,100968,2720500,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 104}"
147,ub-linear,True,0.22789999999804422,0,6120,49003,0,100969,2720843,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 104}"
146,ub-linear,True,0.2039881000018795,0,6145,49078,0,100970,2721118,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 104}"
