t,phase,sat,elapsed_sec,conflicts,decisions,propagations,restarts,n_vars,n_clauses,var_counts_delta,clause_counts_delta
21,lb,False,0.007266100001288578,232,564,20355,4,7356,110542,"{""a"": 735, ""sw"": 336, ""mp"": 1680, ""oc"": 336, ""e"": 210, ""c"": 735, ""d"": 735, ""u"": 336, ""_amn_r"": 1916, ""st"": 336, ""asm"": 1}","{""mapping"": 18081, ""connectivity"": 50736, ""gates"": 50694, ""swap"": 16988, ""assumptions"": 35}"
22,lb,False,0.036651700000220444,385,1151,41247,19,7712,113923,"{""a"": 35, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 35, ""d"": 35, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2416, ""gates"": 2424, ""swap"": 848, ""assumptions"": 35}"
23,lb,False,0.062142900002072565,611,1927,61722,56,8068,119748,"{""a"": 35, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 35, ""d"": 35, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2416, ""gates"": 2424, ""swap"": 848, ""assumptions"": 35}"
24,lb,False,0.15829990000202088,2570,5521,286950,52,8424,128202,"{""a"": 35, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 35, ""d"": 35, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2416, ""gates"": 2424, ""swap"": 848, ""assumptions"": 35}"
25,lb,False,0.3106807000003755,1526,3817,688620,101,8780,151629,"{""a"": 35, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 35, ""d"": 35, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2416, ""gates"": 2424, ""swap"": 848, ""assumptions"": 35}"
26,lb,False,0.7283978000050411,3423,7835,1410892,39,9136,119788,"{""a"": 35, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 35, ""d"": 35, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2416, ""gates"": 2424, ""swap"": 848, ""assumptions"": 35}"
27,lb,False,0.5098489999945741,7128,21392,885298,564,9492,147058,"{""a"": 35, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 35, ""d"": 35, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2416, ""gates"": 2424, ""swap"": 848, ""assumptions"": 35}"
28,lb,False,0.5014329000041471,9580,24873,1033660,445,9848,141987,"{""a"": 35, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 35, ""d"": 35, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2416, ""gates"": 2424, ""swap"": 848, ""assumptions"": 35}"
29,lb,False,1.0948253000024124,8637,24591,2323034,603,10204,142856,"{""a"": 35, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 35, ""d"": 35, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2416, ""gates"": 2424, ""swap"": 848, ""assumptions"": 35}"
30,lb,False,1.244211399993219,16464,42910,2440514,657,10560,190571,"{""a"": 35, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 35, ""d"": 35, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2416, ""gates"": 2424, ""swap"": 848, ""assumptions"": 35}"
31,lb,False,1.5222323999987566,17260,41133,2766080,665,10916,156385,"{""a"": 35, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 35, ""d"": 35, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2416, ""gates"": 2424, ""swap"": 848, ""assumptions"": 35}"
32,lb,False,0.736886599996069,8777,20394,1416025,388,11272,214612,"{""a"": 35, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 35, ""d"": 35, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2416, ""gates"": 2424, ""swap"": 848, ""assumptions"": 35}"
33,lb,False,0.6512136000019382,8980,20284,1142749,488,11628,179892,"{""a"": 35, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 35, ""d"": 35, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2416, ""gates"": 2424, ""swap"": 848, ""assumptions"": 35}"
34,lb,False,0.3805846000032034,5328,12063,701578,358,11984,184065,"{""a"": 35, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 35, ""d"": 35, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2416, ""gates"": 2424, ""swap"": 848, ""assumptions"": 35}"
35,lb,False,1.3746530999997049,9499,23379,2335124,459,12340,180362,"{""a"": 35, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 35, ""d"": 35, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2416, ""gates"": 2424, ""swap"": 848, ""assumptions"": 35}"
36,lb,False,2.143346600001678,22916,54300,3750717,1094,12696,198092,"{""a"": 35, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 35, ""d"": 35, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2416, ""gates"": 2424, ""swap"": 848, ""assumptions"": 35}"
37,lb,False,2.9867034000053536,25500,70576,5349537,1473,13052,206585,"{""a"": 35, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 35, ""d"": 35, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2416, ""gates"": 2424, ""swap"": 848, ""assumptions"": 35}"
38,lb,True,0.6775376000005053,8463,25505,1165782,374,13408,212626,"{""a"": 35, ""sw"": 16, ""mp"": 80, ""oc"": 16, ""e"": 10, ""c"": 35, ""d"": 35, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 861, ""connectivity"": 2416, ""gates"": 2424, ""swap"": 848, ""assumptions"": 35}"
