t,phase,sat,elapsed_sec,conflicts,decisions,propagations,restarts,n_vars,n_clauses,var_counts_delta,clause_counts_delta
47,lb,False,0.15368309999757912,634,2018,111233,2,28430,720199,"{""a"": 4183, ""sw"": 752, ""mp"": 6768, ""oc"": 752, ""e"": 1692, ""c"": 4183, ""d"": 4183, ""u"": 752, ""_amn_r"": 4412, ""st"": 752, ""asm"": 1}","{""mapping"": 85775, ""connectivity"": 407960, ""gates"": 457810, ""swap"": 56700, ""assumptions"": 89}"
48,lb,False,0.0635002999988501,711,2456,128800,29,29038,742373,"{""a"": 89, ""sw"": 16, ""mp"": 144, ""oc"": 16, ""e"": 36, ""c"": 89, ""d"": 89, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1825, ""connectivity"": 8680, ""gates"": 9752, ""swap"": 1232, ""assumptions"": 89}"
49,lb,False,0.6633652000018628,2425,6271,456181,38,29646,758433,"{""a"": 89, ""sw"": 16, ""mp"": 144, ""oc"": 16, ""e"": 36, ""c"": 89, ""d"": 89, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1825, ""connectivity"": 8680, ""gates"": 9752, ""swap"": 1232, ""assumptions"": 89}"
50,lb,False,1.4182138000032865,5757,16745,2121787,341,30254,724585,"{""a"": 89, ""sw"": 16, ""mp"": 144, ""oc"": 16, ""e"": 36, ""c"": 89, ""d"": 89, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1825, ""connectivity"": 8680, ""gates"": 9752, ""swap"": 1232, ""assumptions"": 89}"
51,lb,False,4.221256299999368,7085,24311,3403761,771,30862,708483,"{""a"": 89, ""sw"": 16, ""mp"": 144, ""oc"": 16, ""e"": 36, ""c"": 89, ""d"": 89, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1825, ""connectivity"": 8680, ""gates"": 9752, ""swap"": 1232, ""assumptions"": 89}"
52,lb,False,1.3552073999962886,13020,32798,2519937,503,31470,737169,"{""a"": 89, ""sw"": 16, ""mp"": 144, ""oc"": 16, ""e"": 36, ""c"": 89, ""d"": 89, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1825, ""connectivity"": 8680, ""gates"": 9752, ""swap"": 1232, ""assumptions"": 89}"
53,lb,False,5.9308490000039455,20522,61215,7201640,1222,32078,791562,"{""a"": 89, ""sw"": 16, ""mp"": 144, ""oc"": 16, ""e"": 36, ""c"": 89, ""d"": 89, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1825, ""connectivity"": 8680, ""gates"": 9752, ""swap"": 1232, ""assumptions"": 89}"
54,lb,False,4.695396399998572,23534,66874,5746394,1513,32686,770545,"{""a"": 89, ""sw"": 16, ""mp"": 144, ""oc"": 16, ""e"": 36, ""c"": 89, ""d"": 89, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1825, ""connectivity"": 8680, ""gates"": 9752, ""swap"": 1232, ""assumptions"": 89}"
55,lb,False,9.831591099995421,57535,158122,14551871,2138,33294,797791,"{""a"": 89, ""sw"": 16, ""mp"": 144, ""oc"": 16, ""e"": 36, ""c"": 89, ""d"": 89, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1825, ""connectivity"": 8680, ""gates"": 9752, ""swap"": 1232, ""assumptions"": 89}"
56,lb,False,8.980204100000265,40812,117004,11564227,2057,33902,812954,"{""a"": 89, ""sw"": 16, ""mp"": 144, ""oc"": 16, ""e"": 36, ""c"": 89, ""d"": 89, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1825, ""connectivity"": 8680, ""gates"": 9752, ""swap"": 1232, ""assumptions"": 89}"
57,lb,False,7.7458020999984,49572,128098,11885113,1668,34510,852063,"{""a"": 89, ""sw"": 16, ""mp"": 144, ""oc"": 16, ""e"": 36, ""c"": 89, ""d"": 89, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1825, ""connectivity"": 8680, ""gates"": 9752, ""swap"": 1232, ""assumptions"": 89}"
58,lb,False,15.736220399994636,73006,180083,19748200,2983,35118,886727,"{""a"": 89, ""sw"": 16, ""mp"": 144, ""oc"": 16, ""e"": 36, ""c"": 89, ""d"": 89, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1825, ""connectivity"": 8680, ""gates"": 9752, ""swap"": 1232, ""assumptions"": 89}"
59,lb,False,27.624838499999896,148573,389165,40904504,6197,35726,917201,"{""a"": 89, ""sw"": 16, ""mp"": 144, ""oc"": 16, ""e"": 36, ""c"": 89, ""d"": 89, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1825, ""connectivity"": 8680, ""gates"": 9752, ""swap"": 1232, ""assumptions"": 89}"
60,lb,False,16.644931399998313,101829,281562,26840520,3977,36334,962077,"{""a"": 89, ""sw"": 16, ""mp"": 144, ""oc"": 16, ""e"": 36, ""c"": 89, ""d"": 89, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1825, ""connectivity"": 8680, ""gates"": 9752, ""swap"": 1232, ""assumptions"": 89}"
61,lb,False,28.859253599999647,142175,396091,40032155,7424,36942,1176204,"{""a"": 89, ""sw"": 16, ""mp"": 144, ""oc"": 16, ""e"": 36, ""c"": 89, ""d"": 89, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1825, ""connectivity"": 8680, ""gates"": 9752, ""swap"": 1232, ""assumptions"": 89}"
62,lb,False,25.034639099998458,113199,277943,33044293,5093,37550,1018040,"{""a"": 89, ""sw"": 16, ""mp"": 144, ""oc"": 16, ""e"": 36, ""c"": 89, ""d"": 89, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1825, ""connectivity"": 8680, ""gates"": 9752, ""swap"": 1232, ""assumptions"": 89}"
63,lb,False,47.94451979999576,163193,386412,52144881,6717,38158,1155936,"{""a"": 89, ""sw"": 16, ""mp"": 144, ""oc"": 16, ""e"": 36, ""c"": 89, ""d"": 89, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1825, ""connectivity"": 8680, ""gates"": 9752, ""swap"": 1232, ""assumptions"": 89}"
64,lb,False,126.45117700000264,403433,995121,136449145,17725,38766,1109833,"{""a"": 89, ""sw"": 16, ""mp"": 144, ""oc"": 16, ""e"": 36, ""c"": 89, ""d"": 89, ""u"": 16, ""_amn_r"": 96, ""st"": 16, ""asm"": 1}","{""mapping"": 1825, ""connectivity"": 8680, ""gates"": 9752, ""swap"": 1232, ""assumptions"": 89}"
