t,phase,sat,elapsed_sec,conflicts,decisions,propagations,restarts,n_vars,n_clauses,var_counts_delta,clause_counts_delta
92,ub-probe,True,152.3845608000047,662713,5142259,325012462,37868,55745,1538876,"{""a"": 8188, ""sw"": 1472, ""mp"": 13248, ""oc"": 1472, ""e"": 3312, ""c"": 8188, ""d"": 8188, ""u"": 1472, ""_amn_r"": 8732, ""st"": 1472, ""asm"": 1}","{""gates"": 896739, ""swap"": 112188, ""mapping"": 167900, ""connectivity"": 798560, ""assumptions"": 89}"
91,ub-linear,True,39.36249939999834,157776,910618,61654467,7818,55746,1561812,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 89}"
90,ub-linear,True,72.03750739999668,244715,1097840,96701176,7818,55747,1573816,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 89}"
89,ub-linear,True,178.5339662999977,543276,3081968,245001943,28366,55748,1654234,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 89}"
88,ub-linear,True,51.27680490000057,146511,685411,59418009,6250,55749,1636354,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 89}"
87,ub-linear,True,68.77828900000168,211743,789804,70750571,5851,55750,1630655,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 89}"
86,ub-linear,True,50.5312161000038,157556,733495,56695325,6271,55751,1659962,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 89}"
85,ub-linear,True,25.81663899999694,51634,193382,19909506,1446,55752,2269505,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 89}"
84,ub-linear,True,10.514055299994652,42916,105647,12100915,582,55753,2310851,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 89}"
83,ub-linear,True,44.753294299996924,154788,577787,48774552,4931,55754,1737934,"{""a"": 0, ""sw"": 0, ""mp"": 0, ""oc"": 0, ""e"": 0, ""c"": 0, ""d"": 0, ""u"": 0, ""_amn_r"": 0, ""st"": 0, ""asm"": 1}","{""gates"": 0, ""swap"": 0, ""mapping"": 0, ""connectivity"": 0, ""assumptions"": 89}"
