benchmark,tool,n_qubits,n_gates,status,optimal_depth,repeats,elapsed_mean,elapsed_std,elapsed_min,elapsed_max,n_ok,n_timeout,n_error,depth_consistent,ub_value_used,ub_source,valid,cxdepth,objective,depth,cx_depth,cx_count,lower_bound
4gt13_92.qasm,ub,5,72,SAT,74,1,320.6853667000032,0.0,320.6853667000032,320.6853667000032,1,0,0,,185,map,,False,depth,74,73,135,44
4mod5-v1_22.qasm,ub,5,23,SAT,21,1,4.675080400003935,0.0,4.675080400003935,4.675080400003935,1,0,0,,54,map,,False,depth,21,21,47,13
adder.qasm,ub,4,27,SAT,19,1,0.9376971000019694,0.0,0.9376971000019694,0.9376971000019694,1,0,0,,31,map,,False,depth,19,16,22,15
barenco_tof_4.qasm,ub,7,89,SAT,93,1,143.3412060999981,0.0,143.3412060999981,143.3412060999981,1,0,0,,172,map,,False,depth,93,89,193,81
barenco_tof_5.qasm,ub,9,129,SAT,133,1,541.1802735999954,0.0,541.1802735999954,541.1802735999954,1,0,0,,282,map,,False,depth,133,127,341,116
mod5mils_65.qasm,ub,5,36,SAT,40,1,41.941195100000186,0.0,41.941195100000186,41.941195100000186,1,0,0,,107,map,,False,depth,40,38,88,23
mod_mult_55.qasm,ub,9,111,SAT,75,1,2132.3987540000016,0.0,2132.3987540000016,2132.3987540000016,1,0,0,,198,map,,False,depth,75,73,193,54
or.qasm,ub,3,20,SAT,18,1,1.1347327999974368,0.0,1.1347327999974368,1.1347327999974368,1,0,0,,41,map,,False,depth,18,12,12,12
qaoa5.qasm,ub,5,52,SAT,20,1,0.19123079999553738,0.0,0.19123079999553738,0.19123079999553738,1,0,0,,20,map,,False,depth,20,14,17,20
qft_8.qasm,ub,8,115,SAT,78,1,1536.5215981000001,0.0,1536.5215981000001,1536.5215981000001,1,0,0,,146,map,,False,depth,78,74,215,45
rc_adder_6.qasm,ub,14,172,SAT,109,1,3019.3828116000077,0.0,3019.3828116000077,3019.3828116000077,1,0,0,,305,map,,False,depth,109,109,374,100
tof_4.qasm,ub,7,69,SAT,57,1,27.697061300001224,0.0,27.697061300001224,27.697061300001224,1,0,0,,103,map,,False,depth,57,55,148,54
tof_5.qasm,ub,9,95,SAT,75,1,73.26457259999006,0.0,73.26457259999006,73.26457259999006,1,0,0,,148,map,,False,depth,75,74,186,72
toffoli.qasm,ub,3,18,SAT,16,1,0.34447609999915585,0.0,0.34447609999915585,0.34447609999915585,1,0,0,,28,map,,False,depth,16,9,9,13
vbe_adder_3.qasm,ub,10,101,SAT,79,1,337.4329541000043,0.0,337.4329541000043,337.4329541000043,1,0,0,,197,map,,False,depth,79,74,176,63
