benchmark,ub
4gt13_92,194
4mod5-v1_22,50
adder,22
barenco_tof_4,147
barenco_tof_5,197
mod5mils_65,106
mod_mult_55,139
or,35
qaoa5,20
qft_8,142
rc_adder_6,176
tof_4,78
tof_5,105
toffoli,23
vbe_adder_3,152
16QBT_05CYC_TFL_0,7
16QBT_10CYC_TFL_0,16
16QBT_15CYC_TFL_0,25
16QBT_20CYC_TFL_0,35
16QBT_25CYC_TFL_0,24
16QBT_30CYC_TFL_0,44
16QBT_35CYC_TFL_0,42
16QBT_40CYC_TFL_0,38
16QBT_45CYC_TFL_0,51
54QBT_05CYC_QSE_0,28
54QBT_10CYC_QSE_0,65
54QBT_15CYC_QSE_0,114
54QBT_20CYC_QSE_0,125
54QBT_25CYC_QSE_0,165
54QBT_30CYC_QSE_0,207
54QBT_35CYC_QSE_0,190
54QBT_40CYC_QSE_0,64
54QBT_45CYC_QSE_0,88
vqe_8_0_10_100,281
vqe_8_0_5_100,248
vqe_8_1_10_100,217
vqe_8_1_5_100,77
vqe_8_2_10_100,414
vqe_8_2_5_100,229
vqe_8_3_10_100,391
vqe_8_3_5_100,204
vqe_8_4_10_100,341
vqe_8_4_5_100,177
