benchmark,tool,n_qubits,n_gates,status,optimal_depth,repeats,elapsed_mean,elapsed_std,elapsed_min,elapsed_max,n_ok,n_timeout,n_error,depth_consistent,ub_value_used,ub_source,valid,cxdepth,objective,depth,cx_depth,cx_count,lower_bound
vqe_8_0_10_100.qasm,ub,8,261,TIMEOUT_PARTIAL,-1,1,7200.009941299999,0.0,7200.009941299999,7200.009941299999,0,1,0,,378,map,,False,depth,-1,-1,-1,-1
vqe_8_0_5_100.qasm,ub,8,193,TIMEOUT,-1,1,7200.015182599993,0.0,7200.015182599993,7200.015182599993,0,1,0,,346,map,,False,depth,-1,-1,-1,-1
vqe_8_1_10_100.qasm,ub,8,194,SAT,167,1,2137.655688300001,0.0,2137.655688300001,2137.655688300001,1,0,0,,306,map,,False,depth,167,152,230,158
vqe_8_1_5_100.qasm,ub,8,77,SAT,66,1,62.96785519999685,0.0,62.96785519999685,62.96785519999685,1,0,0,,93,map,,False,depth,66,59,111,63
vqe_8_2_10_100.qasm,ub,8,306,TIMEOUT,-1,1,7200.00521610002,0.0,7200.00521610002,7200.00521610002,0,1,0,,508,map,,False,depth,-1,-1,-1,-1
vqe_8_2_5_100.qasm,ub,8,183,SAT,180,1,1524.5764383999922,0.0,1524.5764383999922,1524.5764383999922,1,0,0,,323,map,,False,depth,180,164,291,171
vqe_8_3_10_100.qasm,ub,8,308,TIMEOUT_PARTIAL,-1,1,7200.003813499992,0.0,7200.003813499992,7200.003813499992,0,1,0,,529,map,,False,depth,-1,-1,-1,-1
vqe_8_3_5_100.qasm,ub,8,152,SAT,137,1,2425.7244215999963,0.0,2425.7244215999963,2425.7244215999963,1,0,0,,218,map,,False,depth,137,129,211,128
vqe_8_4_10_100.qasm,ub,8,271,TIMEOUT,-1,1,7200.007303099992,0.0,7200.007303099992,7200.007303099992,0,1,0,,421,map,,False,depth,-1,-1,-1,-1
vqe_8_4_5_100.qasm,ub,8,154,SAT,133,1,1205.186412400013,0.0,1205.186412400013,1205.186412400013,1,0,0,,228,map,,False,depth,133,126,225,130
