benchmark,ub
4gt13_92,209
4mod5-v1_22,74
adder,32
barenco_tof_4,206
barenco_tof_5,280
mod5mils_65,128
mod_mult_55,196
or,42
qaoa5,20
qft_8,229
rc_adder_6,291
tof_4,108
tof_5,159
toffoli,31
vbe_adder_3,203
16QBT_05CYC_TFL_0,10
16QBT_10CYC_TFL_0,29
16QBT_15CYC_TFL_0,51
16QBT_20CYC_TFL_0,65
16QBT_25CYC_TFL_0,64
16QBT_30CYC_TFL_0,69
16QBT_35CYC_TFL_0,150
16QBT_40CYC_TFL_0,161
16QBT_45CYC_TFL_0,155
vqe_8_0_10_100,378
vqe_8_0_5_100,346
vqe_8_1_10_100,306
vqe_8_1_5_100,93
vqe_8_2_10_100,508
vqe_8_2_5_100,323
vqe_8_3_10_100,529
vqe_8_3_5_100,218
vqe_8_4_10_100,421
vqe_8_4_5_100,228
